ID,ID_CLIENTE,ID_PRODUTO,TIPO_TRANSACAO,TIPO_CD,VALOR,DATA,STATUS,ORIGEM,DESTINO,ID,NOME,TIPO_PESSOA,DOCUMENTO,DATA_NASCIMENTO,TELEFONE,CELULAR,EMAIL,STATUS,ID,TIPO,DESCRICAO,VALOR,STATUS
1,1,1,COMPRA,D,1234,"2022-05-23 19:07:07",ATIVO,"RICO INVESTIMENTOS",,1,"SARA PINHEIRO",F,1234567890,"1992-09-25 00:00:00",1123456789,11987653210,rm337029@fiap.com.br,ATIVO,1,"RENDA FIXA","CDB XPTO",123,ATIVO
2,1,2,COMPRA,D,5677,"2022-05-23 19:07:07",ATIVO,"RICO INVESTIMENTOS",,1,"SARA PINHEIRO",F,1234567890,"1992-09-25 00:00:00",1123456789,11987653210,rm337029@fiap.com.br,ATIVO,2,"RENDA FIXA","LCI ABCD",456,ATIVO
3,1,3,COMPRA,D,6345,"2022-05-23 19:07:07",ATIVO,"RICO INVESTIMENTOS",,1,"SARA PINHEIRO",F,1234567890,"1992-09-25 00:00:00",1123456789,11987653210,rm337029@fiap.com.br,ATIVO,3,"RENDA FIXA","LCA EFGH",789,ATIVO
4,2,4,COMPRA,D,324,"2022-05-23 19:07:07",ATIVO,"XP INVESTIMENTOS",,2,"IGOR JOHANES",M,9234567890,"1999-12-05 00:00:00",1153456789,11887653210,rm347029@fiap.com.br,ATIVO,4,"RENDA VARIAVEL",FII,123,ATIVO
5,2,5,COMPRA,D,234,"2022-05-23 19:07:07",ATIVO,"XP INVESTIMENTOS",,2,"IGOR JOHANES",M,9234567890,"1999-12-05 00:00:00",1153456789,11887653210,rm347029@fiap.com.br,ATIVO,5,"RENDA VARIAVEL",EFI123,123,ATIVO
6,2,6,COMPRA,D,654,"2022-05-23 19:07:07",ATIVO,"XP INVESTIMENTOS",,2,"IGOR JOHANES",M,9234567890,"1999-12-05 00:00:00",1153456789,11887653210,rm347029@fiap.com.br,ATIVO,6,"RENDA VARIAVEL",FII3,123,ATIVO
7,3,7,COMPRA,D,12345,"2022-05-23 19:07:07",ATIVO,"EASYINVEST INVESTIMENTOS",,3,"HENRIQUE OLIVEIRA",M,8234567890,"1998-05-28 00:00:00",1143456789,11787653210,rm357029@fiap.com.br,ATIVO,7,AÇÃO,MGLU3,367,ATIVO
8,3,8,COMPRA,D,321,"2022-05-23 19:07:07",ATIVO,"EASYINVEST INVESTIMENTOS",,3,"HENRIQUE OLIVEIRA",M,8234567890,"1998-05-28 00:00:00",1143456789,11787653210,rm357029@fiap.com.br,ATIVO,8,AÇÃO,VIIA3,300,ATIVO
9,3,9,COMPRA,D,800,"2022-05-23 19:07:07",ATIVO,"EASYINVEST INVESTIMENTOS",,3,"HENRIQUE OLIVEIRA",M,8234567890,"1998-05-28 00:00:00",1143456789,11787653210,rm357029@fiap.com.br,ATIVO,9,AÇÃO,CPLE6,747,ATIVO
10,4,1,COMPRA,D,357,"2022-05-23 19:07:07",ATIVO,"RICO INVESTIMENTOS",,4,"JOÃO SILVA",M,7234567890,"1982-08-15 00:00:00",1173456789,11687653210,rm336665@fiap.com.br,ATIVO,1,"RENDA FIXA","CDB XPTO",123,ATIVO
11,4,2,COMPRA,D,654,"2022-05-23 19:07:07",ATIVO,"RICO INVESTIMENTOS",,4,"JOÃO SILVA",M,7234567890,"1982-08-15 00:00:00",1173456789,11687653210,rm336665@fiap.com.br,ATIVO,2,"RENDA FIXA","LCI ABCD",456,ATIVO
12,5,5,COMPRA,D,100,"2022-05-23 19:07:07",ATIVO,"XP INVESTIMENTOS",,5,"CRISTINA SOUZA",F,7264567890,"1991-01-15 00:00:00",1178856789,11687888810,rm388665@fiap.com.br,ATIVO,5,"RENDA VARIAVEL",EFI123,123,ATIVO
